"lb","ub","dim","status","lambda","C","ng","nb","ngb","subid","packid"
0.86266,1.0929,8,1,0.05,5e-04,75,0,0,1,8
0.63271,1.254,1,1,0.05,5e-04,145,5,0,2,9
-0.78452,1.3445,9,1,0.05,5e-04,145,5,0,2,9
1,1,2,1,0.05,5e-04,67,0,0,3,15
0.44357,1.0783,7,1,0.05,5e-04,162,11,0,4,16
0.061849,0.60415,5,1,0.05,5e-04,97,2,0,5,39
0.039462,0.19487,6,1,0.05,5e-04,97,2,0,5,39
