"lb","ub","dim","status","lambda","C","ng","nb","ngb","subid","packid"
0.596868884540117,0.774951076320939,7,1,0.05,5e-04,65,6,59,3,3
0.874755381604697,1,1,1,0.05,5e-04,64,0,34,5,5
0,0.24853228962818,9,1,0.05,5e-04,64,0,34,5,5
0.814090019569472,1,8,1,0.05,5e-04,75,0,0,8,8
0.913894324853229,1,2,1,0.05,5e-04,67,0,0,11,11
0.219178082191781,0.418786692759295,5,1,0.05,5e-04,46,1,25,39,39
0.00978473581213307,0.209393346379648,6,1,0.05,5e-04,46,1,25,39,39
0.00978473581213307,0.209393346379648,6,1,0.05,5e-04,85,2,0,41,40
0,0.144814090019569,9,1,0.05,5e-04,85,2,0,41,40
